A,B,result
Round-off error,String searching algorithm,0
Virtual reality,Graphics,1
Knowledge representation and reasoning,Integer,1
Cluster analysis,Kalman filter,0
Information security,Linked list,0
Algorithm design,Asymptotic analysis,1
Virtual memory,Reason,0
Hash table,Rendering (computer graphics),0
Pattern recognition,Logic,1
Inter-process communication,OSI model,0
Query language,Computational science,1
Analysis of algorithms,Computational problem,1
Software development,Programming language,1
Genetic algorithm,Mathematical induction,1
Web server,Operating system,1
Compiler,Data structure,1
Divide and conquer algorithm,Finite difference,0
Computer network,Communication,1
Machine learning,Conditional probability,1
Formal methods,Problem solving,0
Context-free grammar,Computer science,1
Robot,Data structure,1
Computing,Computation,1
Statistics,Abstract data type,0
Data analysis,Functional programming,0
Motion capture,Cryptography,0
Java (programming language),Computational complexity theory,1
Central processing unit,Computer,1
Concurrency control,Database management system,1
Recursively enumerable set,Iterative method,1
High-level programming language,Sparse matrix,0
Input/output,Server (computing),0
Model of computation,Theoretical computer science,1
MapReduce,Shared memory,1
Rendering (computer graphics),Security,0
Computer programming,Computability,1
Regular expression,Integer,0
Partial differential equation,Numerical analysis,1
Haskell (programming language),Computer programming,1
Compiler,Regular language,1
Divide and conquer algorithm,Algorithm design,1
Computer graphics,Computer science,1
Packet switching,Partial differential equation,0
Machine translation,Computability,1
Graph theory,Application software,0
Motion capture,Automata theory,0
Robotics,Graph theory,1
Interactivity,Computer,1
Analysis of algorithms,Algorithm design,1
Vector processor,Big data,0
Bioinformatics,Problem solving,1
Database transaction,Iterative method,0
Hidden line removal,Program optimization,0
Thread (computer science),Calculus of variations,0
Linear programming,Theoretical computer science,1
Thread (computer science),Concurrency (computer science),0
Object-oriented programming,Graph theory,1
Lisp (programming language),Random graph,0
Human-computer interaction,Interpolation,0
Run time (program lifecycle phase),Discrete mathematics,1
Higher-order function,Martingale (probability theory),0
Knowledge representation and reasoning,Gradient descent,0
Variable (computer science),Data structure,1
Numerical analysis,Computer science,1
ML (programming language),NP-complete,0
Model of computation,Computation,1
Complexity,Discrete mathematics,1
Computational learning theory,Wavelet,0
Computer,Arithmetic,1
Automated theorem proving,Scheduling (computing),0
Computer vision,Stack (data structure),0
Finite element method,Document classification,0
Computational science,NP-complete,0
Thread (computer science),Scheduling (computing),0
Mutual exclusion,Microprocessor,0
Cryptanalysis,Lexical analysis,0
NP (complexity),Parallel computing,0
Computer animation,Data,1
Dynamic memory allocation,Software engineering,0
Complexity class,Discrete mathematics,1
Computational geometry,Graph theory,1
Monte Carlo method,Combinatorics,1
Modular arithmetic,Mathematical proof,1
Bioinformatics,Mathematics,1
Routing,Syntax,0
Finite element method,Numerical analysis,1
Atomicity (database systems),Computer architecture,0
Knowledge representation and reasoning,Number theory,1
Program analysis,Foundations of mathematics,1
Amortized analysis,Linear algebra,0
Data structure,Synchronization,0
Gradient descent,Algorithm,1
Motion planning,Robot,1
Newton's method,Linear algebra,1
Image analysis,Computer,1
Shared memory,System call,0
Linear algebra,Matrix (mathematics),1
Large deviations theory,Finite element method,0
Query optimization,Analysis of algorithms,1
Hash table,"Best, worst and average case",1
Document classification,Statistics,1
Linked list,Logic,1
Concurrency control,Computation,1
3D computer graphics,Computational problem,0
Modular programming,Debugging,0
Pushdown automata,Discrete mathematics,1
C++,Logic,1
Database,Foundations of mathematics,1
Fast Fourier transform,Computational complexity theory,0
Computing,Graphical model,0
Program optimization,Approximation,0
String searching algorithm,Mathematics,1
Shading,Automata theory,0
Query optimization,Graphical user interface,0
GPU,Shared memory,1
Volume rendering,Web search engine,0
Programming language,Design pattern (computer science),0
Sentiment analysis,Polynomial,0
Robotics,Database management system,0
Recursion,Mathematics,1
Assembly language,Computational science,1
Garbage collection (computer science),Computer science,1
Inheritance (object-oriented programming),String (computer science),0
SQL,Question answering,0
Database system,Transaction processing,0
Numerical analysis,Approximation,1
Motion capture,Graphics,1
CPU cache,Communication,0
3D computer graphics,Computation,1
Database transaction,Dynamic programming,0
Arithmetic logic unit,Document classification,0
Interaction design,Computability,0
Hidden Markov model,Probability theory,1
Theoretical computer science,Computer,1
Theoretical computer science,File system,0
Iterative method,Control flow,0
Machine translation,Natural language,1
Assembly language,Mathematics,1
Formal language,Foundations of mathematics,1
Mutual exclusion,Vector processor,0
String searching algorithm,Compiler,0
Introduction to Algorithms,Computability,0
Mobile device,Artificial intelligence,0
Functional programming,Programming language,1
3D computer graphics,Problem solving,1
Analysis of algorithms,Complexity,1
Interpolation,Bioinformatics,0
Message Passing Interface,Model checking,0
Quantum cryptography,Theory of computation,0
Pipeline (computing),Mobile device,0
Quantum computer,Graph theory,1
Graph coloring,Graph theory,1
Graph (mathematics),Algebra,1
Network security,Communications protocol,1
Recommender system,Algorithm design,1
Spanning tree,Foundations of mathematics,1
NP (complexity),Integer,1
Inheritance (object-oriented programming),Computer programming,1
Very long instruction word,Computer architecture,1
Relational database,Mathematics,1
Round-off error,Reinforcement learning,0
Java (programming language),Randomized algorithm,0
Procedural programming,Linear system,0
Programming language,Computing,1
Shortest path problem,Algorithm,1
Authentication,Arithmetic logic unit,0
HTML,Cluster analysis,0
Traffic analysis,Number theory,1
Time complexity,Concurrent computing,0
Communications protocol,Mathematical induction,1
Synchronization,Scalability,0
Hidden line removal,Foundations of mathematics,1
Shading,Computer simulation,0
Machine translation,Virtual reality,0
NP (complexity),Model of computation,0
Algorithm,Dynamic memory allocation,0
Martingale (probability theory),Digital electronics,0
Complexity class,Fixed point (mathematics),0
Data mining,Mathematical induction,1
Robotics,Foundations of mathematics,1
Modular programming,Monad (functional programming),0
Undecidable problem,Problem solving,1
Computation,String searching algorithm,0
Computation,Stochastic,0
Combinatorics,Coding theory,0
Algorithm,Graph theory,1
Compiler optimization,Scientific visualization,0
Denotational semantics,Programming language,1
Quantum computer,Design of experiments,0
Computer architecture,Formal grammar,0
ML (programming language),Computability,1
Object (computer science),Motion planning,0
Pattern recognition,Recursion (computer science),0
Suffix tree,Economics,0
Distributed computing,Graph (mathematics),1
B-tree,Computer science,1
NP-complete,Integer,1
Index (database),Computing,1
Abstract data type,Discrete mathematics,1
Artificial intelligence,Problem solving,1
Image processing,Data,0
Support vector machine,Symbol table,0
Probability,Part-of-speech tagging,0
Decision theory,Integer,1
Fixed point (mathematics),Uncertainty,0
Database,Gradient descent,0
Algorithm,Eigenvalues and eigenvectors,0
Programming language,Computational science,1
Shortest path problem,Mobile device,0
Machine learning,Complexity,1
Regular expression,Hidden line removal,0
Neural network,Computational complexity theory,1
Approximation algorithm,Matrix (mathematics),1
Visualization (computer graphics),Personal computer,1
Data mining,Data structure,1
Formal verification,Differential equation,0
Modular arithmetic,Large deviations theory,0
Sufficient statistic,Eigenvalues and eigenvectors,0
Nonlinear system,Asymptotic analysis,0
Abstraction (computer science),Number theory,1
Relational database,Analysis of algorithms,1
Complexity class,Iterative method,1
Computer animation,Algorithm design,1
Question answering,Complexity class,0
Distributed computing,Lexical semantics,0
Superscalar,Bioinformatics,0
Computational problem,Foundations of mathematics,1
Scripting language,Programming language,1
Computational problem,Discrete mathematics,1
Halting problem,B-tree,0
GPU,Computing,1
Computer vision,Introduction to Algorithms,1
Interface (computing),Computer simulation,0
Random graph,Queue (data structure),0
Correlation and dependence,Robotics,0
Web browser,Symbol table,0
Boundary value problem,Partial differential equation,1
System programming,Digital electronics,1
Vector processor,Internet Protocol Suite,0
Web search engine,Discrete mathematics,1
Sentiment analysis,Shared memory,0
Mathematics,Continuous function,0
Model checking,Theoretical computer science,1
SQL,PageRank,0
Geometric modeling,Geometry,0
Programming style,Logic,1
Context-free language,Wavelet,0
Programming language,Data type,1
Image analysis,Microcode,0
Web search engine,Geometric modeling,0
Cloud computing,Monte Carlo method,0
Computer vision,Mathematical model,1
Concurrency control,Data type,0
Data mining,Problem solving,1
Debugging,Computer programming,1
Computer animation,Algorithm,1
Amortized analysis,Logic,1
Linear system,Matrix (mathematics),1
Computer programming,Data type,1
Randomized algorithm,Newton's method,0
Transaction processing,Object (computer science),1
Image analysis,Functional programming,0
Functional programming,Foundations of mathematics,1
Iterative method,Stochastic process,0
Scope (computer science),Computer programming,1
Monte Carlo method,Statistical inference,1
Probability theory,Compiler,0
Question answering,Graph theory,1
Entropy,Data structure,0
Interactivity,Discrete mathematics,1
Exponential family,Mathematics,1
Signal processing,Cryptography,0
Linked list,Mathematics,1
OSI model,Predicate logic,0
Transaction processing,Computer,1
Telecommunications network,Cache coherence,0
Mathematical optimization,Logic,1
Time complexity,Integer,1
Data warehouse,Complexity,0
Data warehouse,Inequality (mathematics),0
Firewall (computing),Genetic algorithm,0
Genetic algorithm,Logic,1
Software development,Java (programming language),1
System call,System programming,0
Model checking,Semantics,0
Lazy evaluation,Pushdown automata,0
Random walk,Computer network,0
Mathematical optimization,Computing,1
Software design,Predicate logic,0
Discrete mathematics,Foundations of mathematics,1
Integral,Linear programming,0
Speech recognition,Computational science,1
C++,Unix,0
Software framework,Computational complexity theory,1
Transaction processing,Foundations of mathematics,1
Volume rendering,Software development,0
Inheritance (object-oriented programming),Automata theory,1
Newton's method,Approximation,1
Computational geometry,Logic,1
Natural language processing,Expected value,1
Complexity,Polynomial,1
Feature extraction,High-level programming language,0
Array data structure,Data,1
Logic programming,Computer science,1
Atomicity (database systems),Wavelet,0
Multi-core processor,Computer programming,1
Finite difference,Computation,0
Linear programming,Mathematical optimization,1
Sentiment analysis,Expected value,1
Computational geometry,Newton's method,0
Kernel (computing),Input/output,1
Kalman filter,Reason,0
Robotics,Debugging,1
Inference,Probability,1
Round-off error,OSI model,0
Automatic programming,Graph theory,1
Formal language,Algorithm design,0
Processor register,Stack (data structure),1
Parsing,Data (computing),1
Relational algebra,Graphical user interface,0
Parallel computing,Central processing unit,1
Mutual exclusion,Finite element method,0
Question answering,Unsupervised learning,0
Turing machine,Lisp (programming language),0
Quantum cryptography,Python (programming language),0
Human-computer interaction,Algorithm,0
Suffix tree,Automated theorem proving,0
Abstraction (computer science),Computer programming,1
Application programming interface,Programming language,1
Analysis of algorithms,Combinatorics,1
Data mining,Compiler,0
Entropy,Foundations of mathematics,0
Digital electronics,Nonlinear system,0
Geometry,Mathematics,1
Human-computer interaction,Mathematics,0
Web browser,Visualization (computer graphics),0
Robotics,Computer,1
Graphical model,Computational complexity theory,1
Fast Fourier transform,Iterative method,1
Big data,Mathematics,1
Graph (mathematics),Shared memory,0
P versus NP problem,Computation,1
Monte Carlo method,Integer,1
Atomicity (database systems),Operating system,1
C++,Malware,0
Profiling (computer programming),Theoretical computer science,1
Type system,Programming language,1
Digital signature,Mathematical optimization,0
Finite element method,Approximation,1
Model of computation,Parallel computing,0
Index (database),Formal verification,0
Boundary value problem,Mathematics,1
C (programming language),Computer science,1
Volume rendering,Algorithm design,1
Traffic analysis,Cryptography,1
Imperative programming,Automata theory,1
Automated planning and scheduling,Programmer,0
Software design,Routing,0
Haskell (programming language),Arithmetic,1
Random walk,Computer programming,0
Computer vision,Computer science,1
Computer,Robotics,0
Boundary value problem,Data (computing),0
Web search engine,Recursively enumerable set,0
Algorithm,Foundations of mathematics,1
Integer,Random walk,0
Parallel computing,Foundations of mathematics,1
Structured programming,Model of computation,0
Robotics,3D computer graphics,0
Introduction to Algorithms,Theoretical computer science,0
Formal grammar,Interactivity,0
Unsupervised learning,Markov chain,1
Control flow,Variable (computer science),1
Internet Protocol Suite,Document classification,0
Perl,Computer,1
Machine learning,Randomness,1
HTML,Volume rendering,0
Nonlinear system,Round-off error,0
CPU cache,Computer,1
Mathematical model,Instruction set,0
Cryptanalysis,Modular arithmetic,1
Motion capture,Traffic analysis,0
Algorithm design,Theoretical computer science,1
Computation,Parallel computing,0
Computer architecture,Shared memory,0
Internet Protocol Suite,Communications protocol,1
Robotics,Computer science,1
Monad (functional programming),Expert system,0
Computation,Correlation and dependence,0
Recursion,Mathematical induction,1
Interactivity,User interface design,0
Calculus of variations,Database normalization,0
Lexical analysis,Computability,1
Propositional calculus,Procedural programming,0
Approximation algorithm,Application programming interface,0
Prolog,Digital signature,0
Combinational logic,Floating point,0
Numerical analysis,Computation,1
Visualization (computer graphics),Computer,1
Sentiment analysis,Natural language,1
Mathematical optimization,Random variable,1
Context-free language,Genetic algorithm,0
Database management system,Robotics,0
Model checking,Foundations of mathematics,1
Scientific visualization,Computer science,1
String (computer science),Bioinformatics,0
Software framework,Syntax,0
Scheduling (computing),Web server,0
Logic,PSPACE,0
String (computer science),Logic,1
Computer network,Logic,1
Image processing,Unsupervised learning,0
Interactivity,Sentiment analysis,0
Packet switching,Computer multitasking,0
Machine learning,Mathematical induction,1
Concurrency (computer science),Computer,1
Compiler optimization,3D modeling,0
Social network,Natural language,0
Randomness,Finite set,0
Analysis of algorithms,Mathematics,1
C++,Quantum cryptography,0
Software development,Data (computing),1
Pushdown automata,Mathematics,1
Machine translation,Combinatorics,1
Server (computing),Mobile device,0
Statistics,Randomness,1
Internet,Data (computing),1
Document classification,Python (programming language),0
Model of computation,Complexity,1
Formal language,Volume rendering,0
Database design,Computer science,1
NP (complexity),Discrete mathematics,1
Relational model,Integral,0
Graphical model,Mathematics,1
Parallel computing,Arithmetic,1
Undecidable problem,Polynomial,1
Exponential family,Algebra,1
Program optimization,Foundations of mathematics,1
Machine translation,Numerical analysis,1
Web search engine,Logic,1
Shading,Amortized analysis,0
Markov process,Fourier analysis,0
Stochastic,Context-free grammar,0
Bioinformatics,Analysis of algorithms,1
Mathematical optimization,Randomness,0
Graph coloring,Imperative programming,0
Java (programming language),Abstract data type,1
Vulnerability (computing),Polymorphism (computer science),0
Interaction design,Pattern recognition,0
Cluster analysis,Fast Fourier transform,0
Complexity class,Mathematical induction,1
Polynomial,Foundations of mathematics,1
Parsing,Data structure,1
Profiling (computer programming),P versus NP problem,0
Monad (functional programming),Programming language,1
Quantum mechanics,Mathematics,1
Graph (mathematics),Foundations of mathematics,1
Iterative method,Superscalar,0
Computer vision,Data structure,1
Performance tuning,Sequence alignment,0
Computer graphics,Wavelet,0
Abstract data type,Mathematics,1
Kernel (computing),Semantics of programming languages,0
Cache coherence,Lock (computer science),1
3D modeling,Finite difference,0
Probability theory,Geometry,0
Query optimization,Data structure,1
Abstract data type,Integer,1
Symmetric multiprocessing,Time complexity,0
SQL,Computational complexity theory,1
Context-free grammar,Application software,0
Distributed computing,Arithmetic,1
Monte Carlo method,Computability,1
Parametric polymorphism,Variable (computer science),1
Gradient descent,Abstraction (computer science),1
Computer graphics,Design pattern (computer science),0
Machine translation,Synchronization,0
Formal methods,Introduction to Algorithms,1
Context-free grammar,Divide and conquer algorithm,0
Time complexity,Logic,1
Data mining,Vector processor,0
Data (computing),Game theory,0
Quantum computer,Mathematics,1
Virtual memory,Programming language,0
Virtual reality,Data,1
Imperative programming,Graph theory,1
Relational database,Logic,1
Linear system,Parallel algorithm,0
Application programming interface,Computer programming,1
Syntax,Stochastic,0
Robot,Computer science,1
Amortized analysis,Foundations of mathematics,1
Randomized algorithm,Stochastic process,0
Suffix tree,3D modeling,0
Linear algebra,Pattern recognition,0
Java (programming language),Programming language,1
Integral,Autonomous robot,0
Computer security,Context-free language,0
Imperative programming,Foundations of mathematics,1
Graphical model,Machine learning,1
Program optimization,Information theory,0
Question answering,Data structure,1
Arithmetic,High-level programming language,0
Input/output,Arithmetic,1
User interface,Computer multitasking,0
Type system,Computer science,1
Pushdown automata,MapReduce,0
Linear system,Computer multitasking,0
Data mining,Number theory,1
Web service,Variable (computer science),0
Coding theory,Graph theory,1
Computer graphics,Algorithm,1
Central processing unit,Formal verification,0
Object-oriented programming,Mathematical induction,0
Java (programming language),Web browser,0
Procedural programming,Mathematics,1
Support vector machine,Theoretical computer science,1
MapReduce,Theoretical computer science,0
Variable (computer science),Computer programming,1
Parsing,Theory of computation,1
Parsing,Computational complexity theory,1
Scientific visualization,Computer,1
Run time (program lifecycle phase),Graph theory,1
Compiler optimization,Amortized analysis,0
Debugging,Regular language,0
Thread (computer science),Programmer,0
Algorithm design,Mathematics,1
Integer,Synchronization,0
Information theory,Vector processor,0
Motion capture,Matrix (mathematics),0
Motion capture,Computer,1
Correlation and dependence,Cloud computing,0
Economics,Congestion control,0
Model of computation,Algorithm design,1
Analysis of algorithms,Computability,1
Interactivity,Mathematics,1
ML (programming language),Recursion (computer science),1
Parallel algorithm,Computation,1
Random variable,Polymorphism (computer science),0
String (computer science),Divide and conquer algorithm,0
Partial differential equation,System programming,0
PageRank,Volume rendering,0
Approximation,Imperative programming,0
Neural network,Computability,1
Java (programming language),High-level programming language,1
Image analysis,Logic,1
Theory of computation,Software development,0
Software framework,Scheduling (computing),0
Parallel algorithm,Mathematical induction,1
Recurrence relation,Reason,0
Statistics,Cache coherence,0
Correlation and dependence,Kinematics,0
Scalability,Computer programming,1
Instruction set,Arithmetic,1
Haskell (programming language),Automata theory,1
Knowledge representation and reasoning,Computation,1
Garbage collection (computer science),Formal methods,0
Randomized algorithm,Theoretical computer science,1
Variable (computer science),Pattern matching,0
Server (computing),Arithmetic,1
File system,Input/output,1
Java (programming language),Data structure,1
SQL,Automata theory,1
Mathematical optimization,Computability,1
ML (programming language),Logic programming,0
Machine translation,Iterative method,1
Natural language processing,Mathematics,1
Autonomous robot,Computer programming,1
Algorithm,Theoretical computer science,1
Stochastic process,Flow network,0
Context-free grammar,Software design,0
Tensor,Linear system,0
Computability,Logic,1
Symbol table,Sequence alignment,0
Computer graphics,Mathematical induction,1
Data,Database transaction,0
Cryptography,Probability theory,1
Digital signature,Mathematical induction,1
C (programming language),Computer programming,1
Reason,Parallel computing,0
Fast Fourier transform,Theoretical computer science,1
Pattern recognition,"Best, worst and average case",0
Concurrency control,Introduction to Algorithms,1
Machine learning,Computability,1
Mobile device,Arithmetic,1
Database system,Message passing,0
Cluster analysis,Procedural programming,0
Inter-process communication,Autonomous robot,0
Operating system,Computational science,1
Dynamic memory allocation,Virtual memory,0
Estimation theory,Uncertainty,1
Formal methods,Robotics,0
Message passing,Social network,0
Mathematical model,C (programming language),0
Internet Protocol Suite,Run time (program lifecycle phase),0
Gradient descent,Linear algebra,1
Sufficient statistic,Calculus of variations,0
Relational algebra,SQL,0
Logic programming,Distributed algorithms,0
Analysis of algorithms,Graph theory,1
Microprocessor,Compiler,0
Monad (functional programming),Computer,1
Semidefinite programming,Algorithm,1
Conditional probability,Memory hierarchy,0
Memory hierarchy,Computer science,1
Newton's method,Algorithm,1
Modular arithmetic,Reason,0
Routing,Database system,0
Computational geometry,Unix,0
Computer vision,Algorithm,1
Computational geometry,Turing machine,1
Data (computing),Inter-process communication,0
Graphical model,Probability,1
Signal processing,Estimation theory,0
Parsing,String (computer science),1
Speech recognition,Numerical analysis,1
Approximation algorithm,Kinematics,0
Arithmetic,Internet,0
Quantum cryptography,Computer security,1
Web search engine,Round-off error,0
Interaction design,Sentiment analysis,0
Computation,Microprocessor,0
Expert system,Programming language,1
Mathematical induction,Mutual exclusion,0
Communications protocol,Lexical analysis,0
Stochastic process,Performance tuning,0
Abstraction (computer science),NP-complete,0
Flow network,Iterative method,0
Round-off error,Floating point,1
Algorithm design,Mathematical induction,1
Formal language,Arithmetic logic unit,0
Software testing,Object-oriented programming,1
Scheduling (computing),Very long instruction word,0
Compiler,Algorithm design,1
Assembly language,Computer programming,1
Mutual exclusion,Artificial intelligence,0
String searching algorithm,Algorithm,1
Communications protocol,MapReduce,0
Debugging,Feature extraction,0
Time complexity,Stochastic process,0
Poisson distribution,Random variable,1
Computational geometry,Asymptotic analysis,1
Randomized algorithm,Mathematical induction,1
Denotational semantics,Flow network,0
Probability theory,Tensor,0
P versus NP problem,Integer,1
Unsupervised learning,Gradient descent,0
Finite difference,Boundary value problem,1
Perl,Concurrent computing,0
Recursion,Theoretical computer science,1
Database normalization,Operating system,1
Synchronization,Finite-state machine,0
Document classification,Statistical inference,1
Pushdown automata,Number theory,1
Question answering,Randomness,0
Microcode,Natural language,0
Shared memory,Atomicity (database systems),0
Algorithm,Model checking,0
Game theory,Random variable,1
Data type,Program analysis,0
Artificial intelligence,Numerical analysis,1
Computer programming,Monte Carlo method,0
Object-oriented programming,Information theory,0
Image analysis,Graph theory,1
Document classification,Algorithm,1
Introduction to Algorithms,Formal verification,0
Support vector machine,Problem solving,1
Prolog,Automata theory,1
Motion capture,Number theory,0
Automata theory,Fixed point (mathematics),0
Monte Carlo method,Symbol table,0
Computer programming,Computational complexity theory,1
Inference,Distributed computing,0
Relational model,Database normalization,0
Random walk,Mathematics,1
HTML,Computer,1
Input/output,Reinforcement learning,0
Lazy evaluation,Web service,0
Hidden line removal,Integer,1
Robotics,Assembly language,0
Formal methods,Analysis of algorithms,1
Inheritance (object-oriented programming),Randomized algorithm,0
Halting problem,Parametric polymorphism,0
Program analysis,Computer science,1
Least squares,Approximation,1
Amortized analysis,Kinematics,0
Stochastic process,Randomization,1
Dynamic memory allocation,Computer programming,1
Software development,Variable (computer science),1
Gradient descent,Matrix (mathematics),1
PSPACE,Computational problem,1
Procedural programming,Kernel (computing),0
Atomicity (database systems),Scalability,0
Robotics,Parallel algorithm,0
3D modeling,Computing,1
Communications protocol,Computing,1
Turing machine,Graph theory,1
PSPACE,Memory management,0
Peer-to-peer,Logic programming,0
Automated planning and scheduling,Structured programming,0
Markov chain,Conditional probability,1
Predicate logic,Concurrent computing,0
Server (computing),Propositional calculus,0
Vulnerability (computing),Vector processor,0
List of undecidable problems,NP-complete,0
Neural network,Scientific visualization,0
Assembly language,Expected value,0
Machine translation,Volume rendering,0
Ray tracing (graphics),Algorithm design,1
Correlation and dependence,File system,0
Finite element method,Eigenvalues and eigenvectors,1
Linear system,Queue (data structure),0
Pushdown automata,Data (computing),1
Problem solving,Machine translation,0
Multiplication,Foundations of mathematics,1
Finite-state machine,Scripting language,0
Big data,Graph (mathematics),0
Data warehouse,Generic programming,0
Debugging,Scope (computer science),1
Game theory,Integer,1
Expert system,Computer,1
Parametric polymorphism,Computer science,1
Assembly language,Algebra,0
Complexity,Computer science,1
Recurrence relation,Foundations of mathematics,1
Support vector machine,Semantics of programming languages,0
MATLAB,Computer science,1
Software design,Design of experiments,0
Software engineering,Computability,1
Floating point,Imperative programming,0
Geometric modeling,Computing,1
Numerical analysis,Floating point,1
Communications protocol,Algorithm,1
Application programming interface,Rendering (computer graphics),0
Design pattern (computer science),Asymptotic analysis,0
Unsupervised learning,Machine learning,1
Newton's method,Mathematical model,1
Random graph,Foundations of mathematics,1
Polymorphism (computer science),Integer,1
Parsing,Genetic algorithm,0
Feature extraction,Transaction processing,0
Genetic algorithm,Memory hierarchy,0
Model of computation,Logic,1
Signal processing,Logic programming,0
Object-oriented programming,Algorithm,1
Inter-process communication,Graph theory,0
High-level programming language,NP-complete,0
MapReduce,Estimation theory,0
Python (programming language),Multi-core processor,0
Web server,Lexical semantics,0
Computability,Volume rendering,0
Recursively enumerable set,Finite set,1
Database transaction,Superscalar,0
SQL,Virtual memory,0
Scientific visualization,Interactivity,0
Traffic analysis,Algorithm,1
Natural language processing,Statistical inference,1
Social network,Compiler,0
3D modeling,Artificial intelligence,0
Microcode,Computer programming,1
Programmer,Computability,1
Neural network,Discrete mathematics,1
Run time (program lifecycle phase),Data structure,0
MapReduce,Document classification,0
Geometric modeling,Interpolation,0
Lazy evaluation,Finite element method,0
Algebra,Arithmetic,1
Computer animation,Ray tracing (graphics),1
Cloud computing,Graph (mathematics),1
Complexity class,Problem solving,1
Public-key cryptography,Inheritance (object-oriented programming),0
Imperative programming,List of undecidable problems,0
Bioinformatics,Algorithm,1
User interface,Motion planning,0
Bayesian network,Object (computer science),0
Cryptography,Authentication,1
Python (programming language),Object-oriented programming,1
Robotics,Asymptotic analysis,1
Network security,Object-oriented programming,0
Signal processing,Wireless sensor network,0
Artificial intelligence,Reason,1
Human-computer interaction,Computer science,1
Iterative method,Memory management,0
Computational complexity theory,Numerical analysis,0
Procedural programming,Logic,1
Design pattern (computer science),Computer simulation,0
Recursively enumerable set,Abstraction (computer science),1
Formal language,Logic,1
Processor register,Inter-process communication,0
Statistical inference,Computing,0
Graphical user interface,Computation,0
Abstract data type,Concurrent computing,0
Firewall (computing),Vulnerability (computing),1
NP-complete,Computational complexity theory,1
Functional programming,Computer programming,1
Prolog,Data structure,1
Programming paradigm,Software design,0
Predicate logic,Computer,0
List of undecidable problems,Database,0
Data analysis,Random variable,0
Message passing,Number theory,1
Modular programming,String searching algorithm,0
JavaScript,World Wide Web,1
Sentiment analysis,Lexical semantics,0
Time complexity,Scripting language,0
Suffix tree,Algorithm,1
Semidefinite programming,Computer science,1
Virtual memory,Graphical user interface,0
Inter-process communication,Parallel algorithm,0
Machine learning,Computation,1
Artificial intelligence,Algorithm,1
Document classification,Expected value,1
3D computer graphics,Economics,0
Polynomial,Integer,1
Machine translation,Discrete mathematics,1
Server (computing),Digital electronics,1
Pushdown automata,Image processing,0
Robotics,Mathematics,1
Compiler optimization,String searching algorithm,0
Relational model,Markov chain,0
Knowledge representation and reasoning,Foundations of mathematics,1
Ordinary differential equation,NP-complete,0
Graph theory,Decision theory,0
Semantics of programming languages,Computer science,1
Data (computing),"Best, worst and average case",0
SQL,Logic,1
Unsupervised learning,Mathematical optimization,1
Java (programming language),Algorithm,1
Abstraction (computer science),Reason,0
Digital signature,Programming language,0
Embedded system,Input/output,1
High-level programming language,CPU cache,0
Approximation algorithm,Mathematical optimization,1
Theoretical computer science,Lexical semantics,0
Formal language,Artificial intelligence,0
Parsing,Discrete mathematics,1
Debugging,Algorithm,1
Newton's method,Random variable,1
Software framework,Arithmetic,1
Pipeline (computing),High-level programming language,0
Analysis of algorithms,Halting problem,0
Input/output,Mechanical engineering,0
Input/output,Image,0
Microcode,Statistics,0
Automated theorem proving,Mathematical induction,1
Concurrency (computer science),Probability theory,0
Big data,Logic,1
Cloud computing,Coding theory,0
Polymorphism (computer science),Introduction to Algorithms,0
Analysis of algorithms,Logic,1
Sentiment analysis,Digital electronics,0
Numerical analysis,Combinatorics,1
Internet Protocol Suite,Data (computing),1
Machine learning,Computational science,1
Markov process,Stack (data structure),0
Database management system,Fixed point (mathematics),0
hypothesis testing,Telecommunications network,0
Ray tracing (graphics),Computational geometry,1
Decision theory,Discrete mathematics,1
Cloud computing,Data,1
Combinational logic,CPU cache,0
Recommender system,Computer,1
Mathematical proof,Run time (program lifecycle phase),0
Computer security,Graph (mathematics),0
Java (programming language),Computer science,1
Recursion,Parsing,0
Symbol table,Regular expression,1
Document classification,Probability theory,1
Algebra,Unsupervised learning,0
Automated theorem proving,Predicate logic,1
Profiling (computer programming),Discrete mathematics,1
Social network,Software development,0
Linear system,Programming language,0
Data warehouse,Computer simulation,0
Parsing,Arithmetic,1
Quantum cryptography,Computational complexity theory,1
Assembly language,Computational chemistry,0
Monad (functional programming),Input/output,1
Graphical model,Uncertainty,1
C++,Computing,1
Motion capture,Database design,0
Complexity,Autonomous robot,0
Computer science,Communications protocol,0
Cryptography,Computational problem,1
Computer animation,Mathematics,1
Compiler,Lexical analysis,1
Round-off error,Inequality (mathematics),0
Algorithm,Logic,1
Database system,Probability,0
String searching algorithm,Number theory,1
Python (programming language),Feature extraction,0
Packet switching,Communications protocol,1
Object-oriented programming,Discrete mathematics,1
Communications protocol,Predicate logic,0
Hidden Markov model,Pushdown automata,0
Polynomial,Ordinary differential equation,0
List of undecidable problems,Computability,1
Perl,Distributed algorithms,0
Java (programming language),Design pattern (computer science),1
Programming style,Web browser,0
Software design,Data structure,1
Computer,Natural language,0
Python (programming language),Higher-order function,1
C++,Algorithm,1
Decision theory,Logic,1
Computer,Reason,0
Graphical model,MATLAB,0
Linear algebra,Virtual reality,0
Motion planning,Compiler,0
Question answering,Scientific modelling,0
Markov process,PSPACE,0
Monte Carlo method,Random variable,1
Compiler optimization,Programming language,1
Variable (computer science),Algorithm,1
